Age,Gender,Weight (kg),Height (m),BMI,Fat_Percentage,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Frequency (days/week),Experience_Level,Water_Intake (liters),Fitness_Goal,Workout_Type,Equipment_dumbbell,Equipment_barbell,Equipment_cable,Equipment_kettlebell,Equipment_resistance_band,Equipment_stability_ball,Equipment_bodyweight_only
59.8,Female,67.3,1.6,26.26,29.0,161.7,134.8,76.5,1.73,696.5,3.3,1.0,3.3,Strength,Strength,1.0,0.0,0.0,0.0,0.0,0.0,1.0
51.8,Male,68.0,1.85,19.95,30.9,170.5,156.5,63.1,0.63,430.9,1.9,1.0,3.43,Weight Loss,HIIT,0.0,0.0,0.0,0.0,1.0,1.0,1.0
30.0,Male,61.6,1.77,19.66,24.3,170.0,130.0,74.0,2.0,1068.0,5.0,2.0,1.5,Muscle Gain,Strength,1.0,1.0,1.0,0.0,0.0,0.0,1.0
58.2,Female,74.1,1.58,29.5,18.5,151.9,137.8,61.6,0.92,421.3,4.6,1.0,2.6,Muscle Gain,Strength,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37.9,Male,74.6,1.79,23.37,8.3,186.8,178.5,48.7,1.04,1399.6,4.7,3.0,3.8,General Fitness,Cardio,1.0,0.0,0.0,0.0,0.0,0.0,1.0
16.0,Male,83.3,1.91,22.71,24.5,210.0,151.5,52.4,0.91,501.2,2.5,1.0,3.45,Muscle Gain,Strength,1.0,1.0,1.0,1.0,0.0,1.0,1.0
28.0,Male,82.4,1.57,33.43,31.0,171.0,169.0,55.0,1.07,1218.0,4.0,2.0,2.5,Weight Loss,HIIT,0.0,0.0,0.0,0.0,1.0,0.0,1.0
30.0,Male,72.5,1.91,19.87,28.2,189.0,142.0,58.0,1.44,976.0,2.0,2.0,3.6,General Fitness,Cardio,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.4,Female,59.7,1.59,23.74,22.9,177.7,135.7,65.3,1.82,910.4,3.7,3.0,3.6,Muscle Gain,Strength,1.0,1.0,0.0,1.0,1.0,1.0,0.0
52.1,Male,79.2,1.72,26.64,15.7,168.8,142.1,59.8,1.31,831.0,3.8,2.0,3.6,Muscle Gain,Strength,1.0,1.0,0.0,0.0,1.0,0.0,0.0
42.0,Male,59.1,1.65,21.71,21.2,183.0,138.0,71.0,2.0,957.0,2.0,2.0,2.0,Muscle Gain,Strength,1.0,1.0,0.0,0.0,0.0,0.0,1.0
16.1,Male,113.8,1.83,34.07,31.9,210.0,135.8,69.3,0.67,277.3,1.8,1.0,3.1,General Fitness,Yoga,0.0,0.0,0.0,0.0,0.0,1.0,1.0
35.8,Male,63.4,1.62,24.0,26.6,184.7,117.7,61.4,0.38,90.1,4.0,3.0,2.42,Stress Relief,Yoga,0.0,0.0,0.0,0.0,1.0,0.0,1.0
29.7,Male,67.4,1.78,21.33,13.3,198.5,154.6,52.7,0.65,358.9,4.8,2.0,2.8,General Fitness,Cardio,0.0,0.0,0.0,0.0,0.0,0.0,1.0
68.1,Female,46.3,1.48,21.16,14.2,157.1,152.1,58.8,1.26,550.4,4.8,2.0,3.9,Weight Loss,Cardio,0.0,0.0,0.0,0.0,0.0,0.0,1.0
63.5,Male,91.1,1.81,27.77,8.0,155.3,149.8,56.2,1.17,966.7,5.6,2.0,2.9,General Fitness,Cardio,0.0,0.0,0.0,1.0,0.0,0.0,1.0
36.7,Male,67.7,1.65,24.79,17.3,176.6,105.9,65.0,0.8,92.3,2.8,3.0,2.0,Flexibility,Yoga,0.0,0.0,0.0,0.0,1.0,0.0,1.0
36.3,Male,74.2,1.8,22.94,11.0,193.3,149.1,67.7,1.54,899.0,4.1,3.0,3.6,General Fitness,Cardio,0.0,0.0,0.0,0.0,1.0,1.0,1.0
39.0,Female,77.9,1.74,25.62,26.5,174.5,127.3,84.7,0.87,227.9,2.1,1.0,3.74,Flexibility,Yoga,0.0,0.0,0.0,0.0,0.0,1.0,1.0
45.3,Male,78.2,1.78,24.69,24.7,173.4,155.4,67.0,1.04,923.3,3.8,2.0,3.9,General Fitness,HIIT,1.0,0.0,0.0,1.0,0.0,0.0,1.0
18.0,Male,60.5,1.71,20.81,12.4,192.8,118.0,76.1,0.88,366.5,3.3,3.0,2.7,Strength,Strength,1.0,1.0,1.0,0.0,0.0,1.0,1.0
60.1,Male,76.6,1.78,24.24,11.5,163.1,158.1,67.7,1.18,1375.8,3.2,3.0,3.0,Endurance,HIIT,0.0,0.0,0.0,1.0,0.0,0.0,1.0
52.9,Male,68.9,1.76,22.18,18.6,174.7,151.8,67.2,0.85,594.4,4.0,3.0,2.8,Muscle Gain,Functional,1.0,1.0,0.0,1.0,1.0,1.0,1.0
30.5,Male,61.5,1.77,19.55,16.9,189.3,114.8,46.2,1.04,210.9,5.0,3.0,2.5,Stress Relief,Yoga,1.0,0.0,0.0,0.0,0.0,0.0,1.0
27.0,Female,40.0,1.85,11.69,24.0,177.0,156.0,65.0,1.58,1014.0,5.0,3.0,3.7,Weight Loss,Cardio,0.0,0.0,1.0,1.0,0.0,1.0,1.0
67.5,Male,86.1,1.78,27.03,18.7,140.0,135.0,54.2,0.94,740.5,3.0,1.0,3.2,Muscle Gain,Strength,1.0,1.0,1.0,0.0,1.0,1.0,1.0
25.8,Female,56.1,1.52,24.19,21.3,199.9,91.9,58.7,1.49,256.7,4.1,2.0,2.5,Flexibility,Yoga,0.0,0.0,0.0,0.0,1.0,0.0,1.0
28.1,Female,52.9,1.55,22.0,25.6,199.8,129.1,69.1,1.78,533.1,4.7,1.0,2.9,Muscle Gain,Strength,1.0,1.0,1.0,0.0,0.0,0.0,0.0
18.0,Female,53.5,1.68,18.96,28.1,198.0,134.0,74.0,1.9,368.0,5.0,2.0,3.1,Endurance,HIIT,1.0,0.0,0.0,1.0,1.0,1.0,1.0
50.0,Male,85.2,1.76,27.64,15.4,169.8,121.6,65.9,0.96,438.3,4.8,1.0,3.2,Muscle Gain,Strength,1.0,0.0,1.0,0.0,0.0,0.0,1.0
43.0,Female,40.0,1.89,11.2,21.4,169.0,134.0,54.0,0.57,1267.0,4.0,2.0,1.5,Weight Loss,HIIT,0.0,0.0,0.0,1.0,1.0,1.0,1.0
23.7,Female,81.7,1.63,30.59,33.6,201.1,132.2,73.9,1.35,700.0,3.4,2.0,3.9,Strength,Powerlifting,1.0,1.0,0.0,1.0,0.0,1.0,1.0
21.8,Male,92.3,1.72,31.03,19.4,207.1,108.2,74.6,2.23,1258.3,4.8,2.0,3.3,Strength,Powerlifting,1.0,1.0,1.0,0.0,0.0,0.0,0.0
38.0,Female,42.6,1.61,16.43,14.9,172.0,122.0,69.0,1.13,462.0,2.0,2.0,2.5,Muscle Gain,Strength,1.0,0.0,1.0,0.0,0.0,0.0,1.0
36.1,Male,60.1,1.55,25.02,22.9,178.2,124.0,69.0,1.12,347.8,4.2,3.0,2.2,Muscle Gain,Powerlifting,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,Female,49.4,1.91,13.54,17.6,188.0,131.0,74.0,1.11,963.0,2.0,1.0,2.7,Strength,Strength,0.0,1.0,0.0,0.0,0.0,0.0,1.0
19.8,Female,54.0,1.53,23.05,,196.9,181.1,46.5,1.15,1006.0,2.5,2.0,4.0,Endurance,HIIT,0.0,0.0,0.0,0.0,1.0,1.0,1.0
25.0,Female,65.4,1.57,26.58,15.4,198.6,175.6,55.6,0.5,325.5,4.8,3.0,3.0,Weight Loss,Cardio,0.0,0.0,0.0,1.0,0.0,0.0,1.0
19.0,Male,60.7,1.7,21.0,20.9,183.0,128.0,74.0,1.22,817.0,4.0,1.0,2.8,Strength,Strength,1.0,1.0,1.0,0.0,1.0,0.0,0.0
28.0,Female,40.0,1.81,12.21,21.3,194.0,164.0,57.0,1.57,1070.0,3.0,1.0,3.4,General Fitness,Strength,1.0,1.0,1.0,0.0,0.0,0.0,0.0
50.4,Male,74.1,1.59,29.4,20.3,177.1,162.3,71.1,0.67,538.6,5.3,3.0,3.73,Weight Loss,HIIT,0.0,1.0,0.0,1.0,1.0,0.0,1.0
44.6,Female,62.8,1.66,22.82,21.9,178.5,117.1,58.1,0.71,165.2,3.0,2.0,2.86,Flexibility,Yoga,0.0,0.0,0.0,0.0,1.0,1.0,1.0
37.9,Male,72.1,1.63,27.04,16.2,169.2,164.2,51.0,1.17,869.7,2.2,2.0,3.6,General Fitness,HIIT,1.0,0.0,0.0,0.0,0.0,0.0,1.0
17.4,Female,69.6,1.65,25.52,22.2,202.8,162.7,64.1,1.07,471.8,5.9,2.0,3.09,Muscle Gain,Strength,1.0,1.0,0.0,0.0,0.0,1.0,1.0
54.4,Male,68.1,1.62,25.99,15.9,161.0,124.9,57.1,1.75,1010.6,3.6,3.0,3.4,Muscle Gain,Strength,1.0,0.0,1.0,0.0,0.0,1.0,0.0
19.7,Male,67.3,1.77,21.59,18.8,191.7,173.8,54.4,1.13,1291.5,5.7,2.0,3.2,Weight Loss,Cardio,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28.0,Female,68.8,1.73,22.99,31.4,198.0,169.0,66.0,1.46,1279.0,3.0,1.0,1.6,Muscle Gain,Strength,1.0,1.0,1.0,1.0,1.0,0.0,0.0
28.3,Female,67.3,1.58,27.11,24.8,200.1,125.8,71.1,0.95,594.1,4.3,1.0,2.8,General Fitness,Functional,0.0,0.0,0.0,1.0,1.0,0.0,0.0
38.7,Female,60.3,1.58,24.21,17.5,191.7,161.4,52.1,1.2,956.3,3.8,3.0,3.1,General Fitness,Cardio,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35.2,Female,72.1,1.64,26.88,26.0,182.3,145.6,52.0,1.27,1084.8,3.2,3.0,2.9,Muscle Gain,Functional,1.0,1.0,1.0,0.0,0.0,1.0,0.0
16.0,Male,46.8,1.69,16.41,15.3,200.0,159.3,64.8,1.4,423.7,2.8,1.0,3.36,Muscle Gain,Strength,1.0,0.0,1.0,0.0,0.0,0.0,1.0
21.3,Male,67.5,1.6,26.36,16.4,209.2,121.3,66.1,1.0,381.0,3.5,1.0,2.4,Strength,Strength,1.0,0.0,1.0,1.0,0.0,1.0,1.0
25.3,Female,55.3,1.56,22.8,20.6,179.1,158.5,50.2,1.42,1179.3,5.7,3.0,3.3,General Fitness,Cardio,0.0,0.0,0.0,1.0,0.0,0.0,1.0
20.9,Male,86.7,1.74,28.48,17.5,210.0,119.3,55.6,1.06,700.3,4.2,3.0,2.7,Strength,Powerlifting,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42.0,Female,55.6,1.63,20.93,22.0,176.0,134.0,74.0,1.41,384.0,3.0,1.0,3.3,Weight Loss,Cardio,0.0,0.0,1.0,0.0,0.0,0.0,1.0
31.9,Male,84.0,1.82,25.3,19.1,197.0,98.6,67.5,0.96,196.1,2.8,3.0,3.1,Flexibility,Yoga,0.0,0.0,0.0,0.0,1.0,0.0,1.0
27.2,Male,74.0,1.73,24.79,19.9,200.6,145.5,61.5,0.55,253.0,1.9,1.0,2.97,Strength,Strength,1.0,1.0,1.0,0.0,1.0,0.0,1.0
